ID,Lake,Alkalinity,pH,Calcium,Chlorophyll,AvgMercury,NumSamples,MinMercury,MaxMercury,ThreeYrStdMercury,AgeData,Location,MaxDepth,AvgDepth,SurfaceArea,Depth
44,Shipp,66.5,8.3,26,68.2,0.21,12,0.05,0.48,0.16,1,S,14,4,269,Shallow
45,Talquin,16,6.7,41.2,24.1,0.86,12,0.36,1.4,0.67,1,N,40,15,8850,Deep
46,Tarpon,5,6.2,23.6,9.6,0.52,12,0.31,0.95,0.55,1,S,14,4,2534,Shallow
47,Trafford,81.5,8.9,20.5,9.6,0.27,6,0.04,0.4,0.27,0,S,8.5,7,1500,Shallow
48,Trout,1.2,4.3,2.1,6.4,0.94,10,0.59,1.24,0.98,1,S,30,,148,Deep
49,Tsala Apopka,34,7,13.1,4.6,0.4,12,0.08,0.9,0.31,1,N,11,,9690,Shallow
50,Weir,15.5,6.9,5.2,16.5,0.43,11,0.23,0.69,0.43,1,N,34,15,5685,Deep
51,Tohopekaliga,25.6,6.2,12.6,27.7,0.65,44,0.3,1.1,0.58,1,S,18,12,22700,Medium
52,Wildcat,17.3,5.2,3,2.6,0.25,12,0.15,0.4,0.28,1,N,70,14.8,467,Deep
53,Yale,71.8,7.9,20.5,8.8,0.27,12,0.15,0.51,0.25,1,N,25,12,4020,Medium
